|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3219.97        7.21345        3.51653     
  3245.01        8.04737        4.66228     
  3250.11        8.06333        4.66859     
  3254.76        8.07841        4.67389     
  3266.68        8.12093        4.69715     
  3271.47        8.13582        4.70276     
  3275.72        8.14986        4.70719     
  3280.01        8.16421        4.71168     
  3284.29        8.17850        4.71616     
  3288.47        8.19225        4.72050     
  3293.06        8.20792        4.72523     
  3297.20        8.22148        4.72951     
  3301.58        8.23619        4.73403     
  3305.67        8.24956        4.73826     
  3309.75        8.26286        4.74246     
  3313.96        8.27677        4.74679     
  3318.00        8.28990        4.75093     
  3322.12        8.30339        4.75515     
  3326.13        8.31636        4.75924     
  3330.11        8.32925        4.76331     
  3334.16        8.34251        4.76748     
  3338.10        8.35525        4.77150     
  3342.07        8.36805        4.77551     
  3345.98        8.38065        4.77948     
  3349.88        8.39318        4.78343     
  3353.79        8.40570        4.78735     
  3357.65        8.41810        4.79125     
  3361.52        8.43050        4.79515     
  3365.35        8.44276        4.79900     
  3369.17        8.45496        4.80283     
  3372.97        8.46707        4.80660     
  3376.76        8.47914        4.81039     
  3380.55        8.49123        4.81419     
  3384.30        8.50318        4.81793     
  3388.04        8.51508        4.82166     
  3391.77        8.52691        4.82535     
  3395.48        8.53868        4.82903     
  3399.19        8.55045        4.83272     
  3402.87        8.56211        4.83636     
  3406.54        8.57372        4.83998     
  3410.20        8.58528        4.84358     
  3413.84        8.59678        4.84716     
  3417.46        8.60822        4.85072     
  3421.09        8.61965        4.85431     
  3424.69        8.63099        4.85783     
  3428.28        8.64228        4.86130     
  3431.86        8.65348        4.86474     
  3435.42        8.66467        4.86821     
  3445.60        8.70324        4.89844     
  3449.12        8.71414        4.90195     
  3452.72        8.72525        4.90563     
  3456.22        8.73608        4.90912     
  3459.72        8.74686        4.91258     
  3463.27        8.75781        4.91617     
  3466.74        8.76850        4.91960     
  3470.26        8.77935        4.92316     
  3473.71        8.78996        4.92656     
  3477.14        8.80053        4.92994     
  3480.62        8.81123        4.93343     
  3484.04        8.82171        4.93677     
  3487.49        8.83231        4.94021     
  3490.88        8.84271        4.94352     
  3494.26        8.85307        4.94682     
  3497.67        8.86355        4.95021     
  3501.03        8.87383        4.95348     
  3504.43        8.88422        4.95684     
  3507.77        8.89443        4.96007     
  3511.13        8.90474        4.96340     
  3514.45        8.91487        4.96660     
  3517.77        8.92500        4.96982     
  3524.42        8.95012        4.98268     
  3529.59        8.96837        4.99118     
  3532.86        8.97832        4.99431     
  3547.96        9.03912        5.03063     
  3563.17        9.09899        5.06669     
  3566.36        9.10871        5.06971     
  3624.55        9.33583        5.22205     
  3725.56        9.77167        5.51159     
  3728.39        9.78075        5.51435     
  3731.21        9.78971        5.51705     
  3734.01        9.79866        5.51974     
  3736.84        9.80771        5.52252     
  3739.66        9.81674        5.52529     
  3742.44        9.82560        5.52795     
  3746.12        9.83863        5.53322     
  3753.11        9.86646        5.54784     
  3755.87        9.87519        5.55044     
  3766.28        9.91597        5.57357     
  3804.27        10.0532        5.65999     
