|6.6.6
peridotite_stx11_1.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  115154.        856.566        3759.83        9.52521        5.31324     
  116669.        856.566        3764.65        9.54445        5.32185     
  118184.        856.566        3770.09        9.56510        5.33166     
  119699.        856.566        3776.85        9.59151        5.34501     
  121214.        856.566        3785.73        9.62179        5.36146     
  122729.        856.566        3794.84        9.65305        5.37847     
  124244.        856.566        3801.60        9.67789        5.39108     
  125759.        856.566        3807.87        9.70020        5.40211     
  127274.        856.566        3814.76        9.72590        5.41517     
  128789.        856.566        3821.34        9.75072        5.42761     
  130304.        856.566        3828.55        9.77792        5.44173     
  131819.        856.566        3882.44        9.96395        5.55917     
  133334.        856.566        3896.51        10.0150        5.59129     
  134849.        856.566        3905.09        10.0516        5.61659     
  136365.        856.566        3912.54        10.0841        5.63921     
  137880.        856.566        3918.93        10.1108        5.65725     
  139395.        856.566        3926.09        10.1421        5.67909     
  140910.        856.566        3932.97        10.1718        5.69969     
  142425.        856.566        3940.00        10.2025        5.72120     
  143940.        856.566        3949.21        10.2446        5.75234     
  145455.        856.566        3952.56        10.2554        5.75752     
  146970.        856.566        3955.02        10.2620        5.75916     
  148485.        856.566        3957.57        10.2692        5.76126     
  150000.        856.566        3960.13        10.2765        5.76344     
  10.0000        870.707        3172.31        7.06644        3.52416     
  1525.05        870.707        3216.35        7.73865        4.43825     
  3040.10        870.707        3222.20        7.75749        4.44537     
  4555.15        870.707        3229.25        7.77909        4.45494     
  6070.20        870.707        3240.49        7.81431        4.47336     
  7585.25        870.707        3359.75        8.11609        4.67392     
  9100.30        870.707        3364.22        8.13160        4.67853     
  10615.4        870.707        3368.82        8.14750        4.68299     
  12130.4        870.707        3373.04        8.16178        4.68719     
  13645.5        870.707        3377.35        8.17638        4.69135     
  15160.5        870.707        3381.76        8.19150        4.69570     
  16675.6        870.707        3386.40        8.20751        4.70007     
  18190.6        870.707        3390.81        8.22250        4.70423     
  19705.7        870.707        3395.01        8.23684        4.70871     
  21220.7        870.707        3399.37        8.25155        4.71287     
  22735.8        870.707        3403.49        8.26542        4.71695     
  24250.8        870.707        3407.69        8.27942        4.72083     
  25765.9        870.707        3411.78        8.29309        4.72489     
  27280.9        870.707        3415.79        8.30665        4.72930     
  28796.0        870.707        3419.87        8.32017        4.73313     
