|6.6.6
peridotite_hpha02_1.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  95458.2        842.424        3579.82        8.88156        4.99950     
  96973.2        842.424        3583.33        8.89303        5.00423     
  98488.3        842.424        3586.83        8.90452        5.00902     
  100003.        842.424        3590.33        8.91596        5.01379     
  101518.        842.424        3593.81        8.92735        5.01849     
  103033.        842.424        3597.27        8.93873        5.02318     
  104548.        842.424        3600.72        8.95009        5.02787     
  106064.        842.424        3604.18        8.96142        5.03258     
  107579.        842.424        3607.62        8.97275        5.03730     
  109094.        842.424        3611.06        8.98404        5.04205     
  110609.        842.424        3614.48        8.99531        5.04671     
  112124.        842.424        3617.89        9.00655        5.05139     
  113639.        842.424        3621.30        9.01776        5.05607     
  115154.        842.424        3624.69        9.02897        5.06074     
  116669.        842.424        3628.06        9.04007        5.06530     
  118184.        842.424        3631.44        9.05119        5.06995     
  119699.        842.424        3634.81        9.06238        5.07465     
  121214.        842.424        3638.17        9.07348        5.07930     
  122729.        842.424        3641.52        9.08455        5.08392     
  124244.        842.424        3644.86        9.09561        5.08856     
  125759.        842.424        3648.19        9.10664        5.09317     
  127274.        842.424        3651.51        9.11758        5.09773     
  128789.        842.424        3654.81        9.12855        5.10229     
  130304.        842.424        3658.13        9.13960        5.10698     
  131819.        842.424        3661.43        9.15056        5.11157     
  133334.        842.424        3664.73        9.16151        5.11620     
  134849.        842.424        3668.00        9.17236        5.12076     
  136365.        842.424        3671.27        9.18326        5.12530     
  137880.        842.424        3674.55        9.19417        5.12995     
  139395.        842.424        3707.36        9.28169        5.20775     
  140910.        842.424        3711.55        9.29573        5.21511     
  142425.        842.424        3715.37        9.30823        5.22147     
  143940.        842.424        3719.46        9.32182        5.22860     
  145455.        842.424        3723.36        9.33462        5.23518     
  146970.        842.424        3727.31        9.34768        5.24193     
  148485.        842.424        3731.18        9.36033        5.24841     
  150000.        842.424        3735.17        9.37351        5.25528     
  10.0000        856.566        3207.97        7.72769        4.42950     
  1525.05        856.566        3216.87        7.75631        4.44862     
  3040.10        856.566        3226.73        7.78783        4.46901     
  4555.15        856.566        3304.98        7.97643        4.63664     
  6070.20        856.566        3310.06        7.99403        4.64359     
  7585.25        856.566        3314.52        8.00977        4.64909     
  9100.30        856.566        3318.96        8.02513        4.65453     
  10615.4        856.566        3323.38        8.04033        4.65994     
  12130.4        856.566        3347.93        8.12515        4.69411     
  13645.5        856.566        3362.07        8.17357        4.71340     
  15160.5        856.566        3367.91        8.19271        4.72103     
  16675.6        856.566        3372.63        8.20843        4.72721     
  18190.6        856.566        3376.96        8.22271        4.73277     
  19705.7        856.566        3381.33        8.23694        4.73824     
  21220.7        856.566        3387.46        8.25672        4.74572     
  22735.8        856.566        3393.04        8.27518        4.75329     
  24250.8        856.566        3397.66        8.29023        4.75920     
  25765.9        856.566        3401.68        8.30315        4.76411     
  27280.9        856.566        3406.60        8.31930        4.77065     
  28796.0        856.566        3410.59        8.33216        4.77559     
  30311.0        856.566        3414.97        8.34632        4.78098     
  31826.1        856.566        3419.41        8.36075        4.78649     
  33341.1        856.566        3423.69        8.37467        4.79234     
  34856.2        856.566        3427.49        8.38678        4.79703     
  36371.2        856.566        3431.87        8.40104        4.80276     
  37886.3        856.566        3435.85        8.41381        4.80793     
  39401.3        856.566        3440.08        8.42759        4.81330     
  40916.4        856.566        3443.97        8.44000        4.81822     
  42431.4        856.566        3448.08        8.45330        4.82349     
  43946.5        856.566        3452.06        8.46613        4.82860     
  45461.5        856.566        3456.04        8.47897        4.83367     
  46976.6        856.566        3459.96        8.49158        4.83870     
  48491.6        856.566        3463.87        8.50415        4.84361     
  50006.7        856.566        3467.71        8.51650        4.84865     
  51521.7        856.566        3471.65        8.52920        4.85362     
  53036.8        856.566        3475.50        8.54157        4.85882     
  54551.8        856.566        3479.36        8.55407        4.86363     
  56066.9        856.566        3483.18        8.56634        4.86876     
  57581.9        856.566        3486.98        8.57858        4.87350     
  59097.0        856.566        3490.81        8.59098        4.87858     
  60612.0        856.566        3494.60        8.60327        4.88357     
  62127.1        856.566        3498.38        8.61548        4.88853     
  63642.1        856.566        3502.14        8.62759        4.89335     
  65157.2        856.566        3505.90        8.63971        4.89827     
  66672.2        856.566        3509.64        8.65179        4.90319     
  68187.3        856.566        3513.35        8.66379        4.90800     
  69702.3        856.566        3517.06        8.67581        4.91290     
  71217.4        856.566        3520.75        8.68780        4.91775     
  72732.4        856.566        3524.44        8.69976        4.92263     
  74247.5        856.566        3528.12        8.71169        4.92753     
  75762.5        856.566        3531.80        8.72358        4.93242     
  77277.6        856.566        3535.45        8.73548        4.93730     
  78792.6        856.566        3539.08        8.74727        4.94208     
  80307.7        856.566        3542.72        8.75907        4.94694     
  81822.7        856.566        3546.33        8.77081        4.95171     
  83337.8        856.566        3549.94        8.78259        4.95653     
  84852.8        856.566        3553.54        8.79431        4.96136     
  86367.9        856.566        3557.12        8.80597        4.96612     
  87882.9        856.566        3560.70        8.81763        4.97093     
  89398.0        856.566        3564.27        8.82926        4.97573     
  90913.0        856.566        3567.82        8.84088        4.98051     
  92428.1        856.566        3571.37        8.85244        4.98528     
  93943.1        856.566        3574.90        8.86399        4.99005     
  95458.2        856.566        3578.42        8.87550        4.99480     
  96973.2        856.566        3581.94        8.88699        4.99954     
  98488.3        856.566        3585.44        8.89846        5.00429     
  100003.        856.566        3588.94        8.90991        5.00905     
  101518.        856.566        3592.42        8.92134        5.01377     
  103033.        856.566        3595.89        8.93273        5.01850     
  104548.        856.566        3599.36        8.94411        5.02324     
  106064.        856.566        3602.83        8.95547        5.02800     
  107579.        856.566        3606.26        8.96678        5.03265     
  109094.        856.566        3609.71        8.97812        5.03741     
  110609.        856.566        3613.14        8.98939        5.04211     
  112124.        856.566        3616.54        9.00061        5.04672     
  113639.        856.566        3619.95        9.01184        5.05141     
  115154.        856.566        3623.34        9.02302        5.05606     
  116669.        856.566        3626.73        9.03420        5.06073     
  118184.        856.566        3630.11        9.04535        5.06536     
  119699.        856.566        3633.48        9.05650        5.07004     
  121214.        856.566        3636.84        9.06757        5.07463     
  122729.        856.566        3640.19        9.07866        5.07927     
  124244.        856.566        3643.54        9.08972        5.08390     
  125759.        856.566        3646.87        9.10079        5.08854     
  127274.        856.566        3650.20        9.11181        5.09317     
  128789.        856.566        3653.52        9.12278        5.09776     
  130304.        856.566        3656.83        9.13380        5.10241     
  131819.        856.566        3660.14        9.14476        5.10703     
  133334.        856.566        3663.42        9.15570        5.11157     
  134849.        856.566        3666.73        9.16665        5.11627     
  136365.        856.566        3669.99        9.17750        5.12078     
  137880.        856.566        3673.27        9.18843        5.12541     
  139395.        856.566        3705.97        9.27598        5.20306     
  140910.        856.566        3709.95        9.28912        5.20986     
  142425.        856.566        3713.70        9.30125        5.21600     
  143940.        856.566        3717.58        9.31396        5.22250     
  145455.        856.566        3721.89        9.32846        5.23027     
  146970.        856.566        3725.61        9.34055        5.23633     
  148485.        856.566        3729.49        9.35327        5.24286     
  150000.        856.566        3733.30        9.36568        5.24919     
  10.0000        870.707        3206.62        7.72191        4.42543     
  1525.05        870.707        3216.36        7.75271        4.44636     
  3040.10        870.707        3226.11        7.78388        4.46648     
  4555.15        870.707        3303.18        7.96905        4.63149     
  6070.20        870.707        3308.33        7.98712        4.63863     
  7585.25        870.707        3312.79        8.00256        4.64408     
  9100.30        870.707        3317.24        8.01789        4.64953     
  10615.4        870.707        3321.68        8.03321        4.65497     
  12130.4        870.707        3348.35        8.12550        4.69202     
  13645.5        870.707        3360.08        8.16552        4.70790     
  15160.5        870.707        3366.10        8.18523        4.71561     
  16675.6        870.707        3370.68        8.20056        4.72184     
  18190.6        870.707        3375.12        8.21520        4.72745     
  19705.7        870.707        3379.29        8.22892        4.73282     
  21220.7        870.707        3385.13        8.24784        4.74028     
  22735.8        870.707        3390.91        8.26670        4.74774     
  24250.8        870.707        3395.80        8.28268        4.75376     
  25765.9        870.707        3400.24        8.29711        4.75931     
  27280.9        870.707        3404.35        8.31041        4.76482     
  28796.0        870.707        3408.90        8.32522        4.77060     
