|6.6.6
dunite_hpha02_1.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  86367.9        842.424        3470.76        8.79869        4.97638     
  87882.9        842.424        3474.31        8.81004        4.98103     
  89398.0        842.424        3477.84        8.82136        4.98566     
  90913.0        842.424        3481.37        8.83266        4.99029     
  92428.1        842.424        3484.88        8.84393        4.99491     
  93943.1        842.424        3488.38        8.85518        4.99954     
  95458.2        842.424        3491.88        8.86639        5.00414     
  96973.2        842.424        3495.36        8.87759        5.00875     
  98488.3        842.424        3498.83        8.88876        5.01334     
  100003.        842.424        3502.29        8.89991        5.01794     
  101518.        842.424        3505.74        8.91103        5.02253     
  103033.        842.424        3509.18        8.92214        5.02711     
  104548.        842.424        3512.61        8.93321        5.03169     
  106064.        842.424        3516.03        8.94426        5.03626     
  107579.        842.424        3519.44        8.95529        5.04082     
  109094.        842.424        3522.84        8.96630        5.04538     
  110609.        842.424        3526.23        8.97727        5.04991     
  112124.        842.424        3529.61        8.98823        5.05447     
  113639.        842.424        3532.98        8.99917        5.05901     
  115154.        842.424        3536.35        9.01009        5.06356     
  116669.        842.424        3539.70        9.02098        5.06808     
  118184.        842.424        3543.04        9.03184        5.07259     
  119699.        842.424        3546.37        9.04269        5.07712     
  121214.        842.424        3549.70        9.05352        5.08163     
  122729.        842.424        3553.01        9.06431        5.08612     
  124244.        842.424        3556.31        9.07508        5.09062     
  125759.        842.424        3559.61        9.08588        5.09515     
  127274.        842.424        3562.89        9.09657        5.09960     
  128789.        842.424        3566.17        9.10728        5.10407     
  130304.        842.424        3569.44        9.11800        5.10859     
  131819.        842.424        3572.70        9.12865        5.11303     
  133334.        842.424        3575.95        9.13932        5.11751     
  134849.        842.424        3579.19        9.14994        5.12197     
  136365.        842.424        3582.43        9.16057        5.12644     
  137880.        842.424        3585.65        9.17113        5.13087     
  139395.        842.424        3607.54        9.23135        5.18329     
  140910.        842.424        3610.73        9.24142        5.18770     
  142425.        842.424        3613.90        9.25144        5.19211     
  143940.        842.424        3617.07        9.26146        5.19651     
  145455.        842.424        3620.23        9.27143        5.20089     
  146970.        842.424        3623.38        9.28140        5.20527     
  148485.        842.424        3626.52        9.29135        5.20965     
  150000.        842.424        3629.65        9.30129        5.21403     
  10.0000        856.566        3235.02        8.05941        4.66846     
  1525.05        856.566        3239.48        8.07240        4.67490     
  3040.10        856.566        3244.01        8.08675        4.68100     
  4555.15        856.566        3248.59        8.10125        4.68722     
  6070.20        856.566        3253.16        8.11568        4.69341     
  7585.25        856.566        3257.67        8.12991        4.69946     
  9100.30        856.566        3262.16        8.14408        4.70547     
  10615.4        856.566        3266.67        8.15824        4.71150     
  12130.4        856.566        3278.87        8.19793        4.73471     
  13645.5        856.566        3283.08        8.21086        4.73968     
  15160.5        856.566        3287.27        8.22372        4.74464     
  16675.6        856.566        3291.45        8.23657        4.74960     
  18190.6        856.566        3295.95        8.25044        4.75503     
  19705.7        856.566        3300.21        8.26339        4.76010     
  21220.7        856.566        3304.37        8.27618        4.76509     
  22735.8        856.566        3308.69        8.28917        4.77020     
  24250.8        856.566        3312.73        8.30177        4.77510     
  25765.9        856.566        3316.84        8.31442        4.78006     
  27280.9        856.566        3321.13        8.32731        4.78515     
  28796.0        856.566        3325.16        8.33983        4.79005     
  30311.0        856.566        3329.25        8.35242        4.79501     
  31826.1        856.566        3333.34        8.36499        4.79997     
  33341.1        856.566        3337.38        8.37748        4.80490     
  34856.2        856.566        3341.35        8.38982        4.80973     
  36371.2        856.566        3345.38        8.40226        4.81466     
  37886.3        856.566        3349.33        8.41457        4.81951     
  39401.3        856.566        3353.32        8.42693        4.82441     
  40916.4        856.566        3357.25        8.43918        4.82925     
  42431.4        856.566        3361.19        8.45143        4.83410     
  43946.5        856.566        3365.11        8.46364        4.83894     
  45461.5        856.566        3369.01        8.47581        4.84379     
  46976.6        856.566        3372.88        8.48794        4.84861     
  48491.6        856.566        3376.76        8.50005        4.85343     
