|6.6.6
peridotite_hp02_1.tab                                                                               
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  75762.5        856.566        3531.78        8.66677        4.89929     
  77277.6        856.566        3535.45        8.67783        4.90449     
  78792.6        856.566        3539.08        8.68876        4.90942     
  80307.7        856.566        3542.72        8.69972        4.91447     
  81822.7        856.566        3546.33        8.71061        4.91939     
  83337.8        856.566        3549.94        8.72156        4.92439     
  84852.8        856.566        3553.54        8.73246        4.92941     
  86367.9        856.566        3557.12        8.74330        4.93434     
  87882.9        856.566        3560.70        8.75414        4.93934     
  89398.0        856.566        3564.27        8.76497        4.94433     
  90913.0        856.566        3567.82        8.77575        4.94931     
  92428.1        856.566        3571.37        8.78653        4.95428     
  93943.1        856.566        3574.90        8.79726        4.95920     
  95458.2        856.566        3578.42        8.80800        4.96417     
  96973.2        856.566        3581.94        8.81871        4.96913     
  98488.3        856.566        3585.44        8.82939        4.97405     
  100003.        856.566        3588.93        8.84007        4.97901     
  101518.        856.566        3592.42        8.85073        4.98400     
  103033.        856.566        3595.89        8.86135        4.98890     
  104548.        856.566        3599.36        8.87197        4.99386     
  106064.        856.566        3602.83        8.88260        4.99887     
  107579.        856.566        3606.26        8.89310        5.00368     
  109094.        856.566        3609.71        8.90369        5.00872     
  110609.        856.566        3613.13        8.91424        5.01364     
  112124.        856.566        3616.54        8.92468        5.01840     
  113639.        856.566        3619.95        8.93518        5.02332     
  115154.        856.566        3623.34        8.94563        5.02821     
  116669.        856.566        3626.74        8.95609        5.03311     
  118184.        856.566        3630.11        8.96650        5.03798     
  119699.        856.566        3633.48        8.97691        5.04287     
  121214.        856.566        3636.84        8.98727        5.04766     
  122729.        856.566        3640.19        8.99765        5.05254     
  124244.        856.566        3643.54        9.00800        5.05740     
  125759.        856.566        3646.88        9.01833        5.06232     
  127274.        856.566        3650.20        9.02865        5.06716     
  128789.        856.566        3653.52        9.03894        5.07202     
  130304.        856.566        3656.84        9.04925        5.07693     
  131819.        856.566        3660.14        9.05951        5.08177     
  133334.        856.566        3663.43        9.06974        5.08662     
  134849.        856.566        3666.73        9.08001        5.09155     
  136365.        856.566        3669.99        9.09017        5.09626     
  137880.        856.566        3673.27        9.10037        5.10116     
  139395.        856.566        3705.97        9.28163        5.20571     
  140910.        856.566        3709.95        9.29600        5.21433     
  142425.        856.566        3713.69        9.30907        5.22202     
  143940.        856.566        3717.58        9.32305        5.23021     
  145455.        856.566        3721.89        9.33925        5.24040     
  146970.        856.566        3725.61        9.35240        5.24799     
  148485.        856.566        3729.49        9.36640        5.25633     
  150000.        856.566        3733.30        9.38002        5.26436     
  10.0000        870.707        3206.62        7.77560        4.44193     
  1525.05        870.707        3216.36        7.79700        4.45812     
  3040.10        870.707        3226.11        7.81964        4.47354     
  4555.15        870.707        3303.18        7.96372        4.58876     
  6070.20        870.707        3308.33        7.97903        4.59564     
  7585.25        870.707        3312.79        7.99158        4.60066     
  9100.30        870.707        3317.24        8.00416        4.60571     
  10615.4        870.707        3321.68        8.01672        4.61073     
  12130.4        870.707        3348.35        8.10559        4.65056     
  13645.5        870.707        3360.09        8.14503        4.66787     
  15160.5        870.707        3366.12        8.16544        4.67629     
  16675.6        870.707        3370.69        8.17903        4.68240     
  18190.6        870.707        3375.12        8.19205        4.68791     
  19705.7        870.707        3379.29        8.20391        4.69318     
  21220.7        870.707        3385.13        8.22378        4.70142     
  22735.8        870.707        3390.91        8.24351        4.70962     
  24250.8        870.707        3395.80        8.25906        4.71597     
  25765.9        870.707        3400.26        8.27255        4.72180     
  27280.9        870.707        3404.36        8.28440        4.72723     
  28796.0        870.707        3408.90        8.29846        4.73328     
